dataset,horizon,variant,mean_mse,std_mse,n_seeds
ETTh1,96,SRSNet,0.436193,0.000442,5
ETTh1,96,SRSNet_HypernetAF,0.435978,0.0004,5
ETTh1,96,SRSNet_RandomSP,0.435981,0.00038,5
ETTh1,96,SRSNet_RandomSPNoShuffle,0.436098,0.000226,5
ETTh1,96,SRSNet_TASP,0.436808,0.000534,5
ETTh1,192,SRSNet,0.48394,0.002567,5
ETTh1,192,SRSNet_HypernetAF,0.487928,0.004507,5
ETTh1,192,SRSNet_RandomSP,0.482051,0.000431,5
ETTh1,192,SRSNet_RandomSPNoShuffle,0.481828,0.000605,5
ETTh1,192,SRSNet_TASP,0.483589,0.000322,5
ETTh1,336,SRSNet,0.530382,0.003539,5
ETTh1,336,SRSNet_HypernetAF,0.530322,0.002571,5
ETTh1,336,SRSNet_RandomSP,0.533173,0.005029,5
ETTh1,336,SRSNet_RandomSPNoShuffle,0.533173,0.005026,5
ETTh1,336,SRSNet_TASP,0.533951,0.006631,5
ETTh1,720,SRSNet,0.660632,0.00257,5
ETTh1,720,SRSNet_HypernetAF,0.662212,0.001994,5
ETTh1,720,SRSNet_RandomSP,0.654541,0.00329,5
ETTh1,720,SRSNet_RandomSPNoShuffle,0.653392,0.001467,5
ETTh1,720,SRSNet_TASP,0.653292,0.004359,5
ETTh2,96,SRSNet,0.22545,0.001503,5
ETTh2,96,SRSNet_HypernetAF,0.219319,0.000606,5
ETTh2,96,SRSNet_RandomSP,0.219485,0.001449,5
ETTh2,96,SRSNet_RandomSPNoShuffle,0.217337,0.000151,5
ETTh2,96,SRSNet_TASP,0.219118,0.003172,5
ETTh2,192,SRSNet,0.284018,0.003946,5
ETTh2,192,SRSNet_HypernetAF,0.277742,0.004707,5
ETTh2,192,SRSNet_RandomSP,0.277878,0.002419,5
ETTh2,192,SRSNet_RandomSPNoShuffle,0.275562,0.002089,5
ETTh2,192,SRSNet_TASP,0.276745,0.003204,5
ETTh2,336,SRSNet,0.323597,0.005969,5
ETTh2,336,SRSNet_HypernetAF,0.315645,0.001563,5
ETTh2,336,SRSNet_RandomSP,0.316225,0.002083,5
ETTh2,336,SRSNet_RandomSPNoShuffle,0.31286,0.0002,5
ETTh2,336,SRSNet_TASP,0.3154,0.002344,5
ETTh2,720,SRSNet,0.413665,0.011509,5
ETTh2,720,SRSNet_HypernetAF,0.411771,0.015239,5
ETTh2,720,SRSNet_RandomSP,0.415028,0.007147,5
ETTh2,720,SRSNet_RandomSPNoShuffle,0.41556,0.008957,5
ETTh2,720,SRSNet_TASP,0.404654,0.011975,5
ETTm1,96,SRSNet,0.317142,0.002609,5
ETTm1,96,SRSNet_HypernetAF,0.319286,0.000651,5
ETTm1,96,SRSNet_RandomSP,0.320936,0.000402,5
ETTm1,96,SRSNet_RandomSPNoShuffle,0.321456,0.000399,5
ETTm1,96,SRSNet_TASP,0.320263,0.001703,5
ETTm1,192,SRSNet,0.368706,0.001339,5
ETTm1,192,SRSNet_HypernetAF,0.373939,0.001364,5
ETTm1,192,SRSNet_RandomSP,0.376953,0.000461,5
ETTm1,192,SRSNet_RandomSPNoShuffle,0.377252,0.000491,5
ETTm1,192,SRSNet_TASP,0.37651,0.001566,5
ETTm1,336,SRSNet,0.417735,0.005842,5
ETTm1,336,SRSNet_HypernetAF,0.422658,0.002488,5
ETTm1,336,SRSNet_RandomSP,0.427133,0.000981,5
ETTm1,336,SRSNet_RandomSPNoShuffle,0.428349,0.002035,5
ETTm1,336,SRSNet_TASP,0.42586,0.00287,5
ETTm1,720,SRSNet,0.503721,0.0017,5
ETTm1,720,SRSNet_HypernetAF,0.504528,0.005906,5
ETTm1,720,SRSNet_RandomSP,0.508242,0.004328,5
ETTm1,720,SRSNet_RandomSPNoShuffle,0.506859,0.001265,5
ETTm1,720,SRSNet_TASP,0.505635,0.00459,5
ETTm2,96,SRSNet,0.14825,0.00085,5
ETTm2,96,SRSNet_HypernetAF,0.147641,0.000417,5
ETTm2,96,SRSNet_RandomSP,0.148399,0.000413,5
ETTm2,96,SRSNet_RandomSPNoShuffle,0.148553,0.000353,5
ETTm2,96,SRSNet_TASP,0.148848,0.001112,5
ETTm2,192,SRSNet,0.1819,0.001658,5
ETTm2,192,SRSNet_HypernetAF,0.180401,0.00076,5
ETTm2,192,SRSNet_RandomSP,0.18105,0.00103,5
ETTm2,192,SRSNet_RandomSPNoShuffle,0.1813,0.000728,5
ETTm2,192,SRSNet_TASP,0.185114,0.001699,5
ETTm2,336,SRSNet,0.216782,0.002649,5
ETTm2,336,SRSNet_HypernetAF,0.21612,0.002303,5
ETTm2,336,SRSNet_RandomSP,0.214642,0.000292,5
ETTm2,336,SRSNet_RandomSPNoShuffle,0.21456,0.000523,5
ETTm2,336,SRSNet_TASP,0.218054,0.002902,5
ETTm2,720,SRSNet,0.27387,0.002335,5
ETTm2,720,SRSNet_HypernetAF,0.271821,0.003681,5
ETTm2,720,SRSNet_RandomSP,0.270556,0.001375,5
ETTm2,720,SRSNet_RandomSPNoShuffle,0.27138,0.003292,5
ETTm2,720,SRSNet_TASP,0.27515,0.00435,5
