dataset,horizon,base_model,base_MSE,plus_srs_model,plus_srs_MSE,delta_MSE_pct,improved
ETTh1,96,SRSNet_NoSRS,0.4360,SRSNet,0.4362,+0.03,no
ETTh1,192,SRSNet_NoSRS,0.4815,SRSNet,0.4869,+1.13,no
ETTh1,336,SRSNet_NoSRS,0.5396,SRSNet,0.5289,-1.99,YES
ETTh1,720,SRSNet_NoSRS,0.6535,SRSNet,0.6580,+0.69,no
ETTh2,96,SRSNet_NoSRS,0.2171,SRSNet,0.2268,+4.46,no
ETTh2,192,SRSNet_NoSRS,0.2755,SRSNet,0.2736,-0.68,YES
ETTh2,336,SRSNet_NoSRS,0.3126,SRSNet,0.3231,+3.36,no
ETTh2,720,SRSNet_NoSRS,0.4191,SRSNet,0.4231,+0.95,no
ETTm1,96,SRSNet_NoSRS,0.3220,SRSNet,0.3185,-1.09,YES
ETTm1,192,SRSNet_NoSRS,0.3782,SRSNet,0.3680,-2.68,YES
ETTm1,336,SRSNet_NoSRS,0.4313,SRSNet,0.4139,-4.04,YES
ETTm1,720,SRSNet_NoSRS,0.5058,SRSNet,0.5057,-0.03,YES
ETTm2,96,SRSNet_NoSRS,0.1492,SRSNet,0.1478,-0.88,YES
ETTm2,192,SRSNet_NoSRS,0.1809,SRSNet,0.1830,+1.16,no
ETTm2,336,SRSNet_NoSRS,0.2144,SRSNet,0.2193,+2.26,no
ETTm2,720,SRSNet_NoSRS,0.2683,SRSNet,0.2775,+3.42,no
