dataset,horizon,SRSNet_MSE,SRSNet_NoSRS_MSE,SRSNet_NoSP_MSE,SRSNet_NoDR_MSE,SRSNet_NoAF_MSE,SRSNet_MAE,SRSNet_NoSRS_MAE,SRSNet_NoSP_MAE,SRSNet_NoDR_MAE,SRSNet_NoAF_MAE
ETTh1,96,0.4360,0.4360,0.4356,0.4360,0.4447,0.4530,0.4519,0.4522,0.4532,0.4681
ETTh1,192,0.4814,0.4815,0.4818,0.4839,0.5105,0.4851,0.4835,0.4841,0.4873,0.5153
ETTh1,336,0.5289,0.5396,0.5395,0.5396,0.5547,0.5177,0.5224,0.5224,0.5225,0.5385
ETTh1,720,0.6577,0.6535,0.6546,0.6572,0.6929,0.6025,0.5984,0.5991,0.6083,0.6307
ETTh2,96,0.2276,0.2171,0.2188,0.2227,0.2414,0.3236,0.3151,0.3151,0.3203,0.3356
ETTh2,192,0.2817,0.2755,0.2785,0.2775,0.2965,0.3609,0.3569,0.3595,0.3602,0.3747
ETTh2,336,0.3168,0.3126,0.3131,0.3193,0.3260,0.3850,0.3808,0.3810,0.3874,0.4015
ETTh2,720,0.4253,0.4191,0.4142,0.4174,0.4277,0.4477,0.4455,0.4447,0.4439,0.4490
ETTm1,96,0.3174,0.3220,0.3212,0.3205,0.3185,0.3699,0.3709,0.3699,0.3723,0.3727
ETTm1,192,0.3688,0.3782,0.3762,0.3690,0.3727,0.4051,0.4072,0.4060,0.4058,0.4095
ETTm1,336,0.4183,0.4313,0.4296,0.4141,0.4161,0.4439,0.4441,0.4430,0.4382,0.4430
ETTm1,720,0.5057,0.5058,0.5037,0.5080,0.5173,0.4846,0.4805,0.4817,0.4864,0.4941
ETTm2,96,0.1483,0.1492,0.1496,0.1487,0.1519,0.2526,0.2537,0.2541,0.2549,0.2597
ETTm2,192,0.1820,0.1809,0.1802,0.1800,0.1908,0.2815,0.2798,0.2803,0.2820,0.2920
ETTm2,336,0.2143,0.2144,0.2164,0.2166,0.2279,0.3093,0.3051,0.3066,0.3087,0.3190
ETTm2,720,0.2749,0.2683,0.2696,0.2765,0.2943,0.3534,0.3436,0.3449,0.3514,0.3683
AVERAGE,,0.3616,0.3616,0.3614,0.3617,0.3740,0.4047,0.4025,0.4028,0.4052,0.4170
